T printed	V read	T adjusted	V read
2697	0.000251	0	0.000251
2700	0.000712	3	0.000712
2704	0.001056	7	0.001056
2706	0.001357	9	0.001357
2710	0.001681	13	0.001681
2712	0.002096	15	0.002096
2716	0.00262	19	0.00262
2719	0.003155	22	0.003155
2723	0.003521	26	0.003521
2725	0.003866	28	0.003866
2729	0.00436	32	0.00436
2731	0.00499	34	0.00499
2735	0.005536	38	0.005536
2738	0.005913	41	0.005913
2741	0.006315	44	0.006315
2744	0.006804	47	0.006804
2746	0.007465	49	0.007465
2750	0.008058	53	0.008058
2753	0.008563	56	0.008563
2756	0.009032	59	0.009032
2759	0.009603	62	0.009603
2763	0.010142	66	0.010142
2765	0.010771	68	0.010771
2769	0.011431	72	0.011431
2771	0.011857	74	0.011857
2775	0.012277	78	0.012277
2778	0.013042	81	0.013042
2782	0.013605	85	0.013605
2784	0.014362	87	0.014362
2788	0.01493	91	0.01493
2790	0.015416	93	0.015416
2794	0.016039	97	0.016039
2797	0.016916	100	0.016916
2800	0.017022	103	0.017022
2803	0.018683	106	0.018683
2807	0.018253	110	0.018253
2809	0.018867	112	0.018867
2813	0.020854	116	0.020854
2815	0.020991	118	0.020991
2819	0.020212	122	0.020212
2822	0.021358	125	0.021358
2826	0.023493	129	0.023493
2828	0.024303	131	0.024303
2832	0.024878	135	0.024878
2834	0.025554	137	0.025554
2838	0.026189	141	0.026189
2841	0.02674	144	0.02674
2844	0.027422	147	0.027422
2847	0.027859	150	0.027859
2851	0.027629	154	0.027629
2853	0.027295	156	0.027295
2857	0.027432	160	0.027432
2859	0.027805	162	0.027805
2862	0.029036	165	0.029036
2866	0.031395	169	0.031395
2868	0.032145	171	0.032145
2872	0.031231	175	0.031231
2874	0.032275	177	0.032275
2878	0.033906	181	0.033906
2881	0.033481	184	0.033481
2885	0.034797	188	0.034797
2887	0.035155	190	0.035155
2891	0.035725	194	0.035725
2893	0.036494	196	0.036494
2897	0.037092	200	0.037092
2900	0.037807	203	0.037807
2903	0.038518	206	0.038518
2906	0.038887	209	0.038887
2910	0.039628	213	0.039628
2912	0.040273	215	0.040273
2916	0.040976	219	0.040976
2919	0.041622	222	0.041622
2922	0.042117	225	0.042117
2925	0.042636	228	0.042636
2929	0.043214	232	0.043214
2931	0.043897	234	0.043897
2935	0.044557	238	0.044557
2937	0.045065	240	0.045065
2941	0.045473	244	0.045473
2944	0.046015	247	0.046015
2948	0.046709	251	0.046709
2950	0.047328	253	0.047328
2954	0.047843	257	0.047843
2956	0.048223	259	0.048223
2960	0.048688	263	0.048688
2963	0.049241	266	0.049241
2966	0.049826	269	0.049826
2969	0.050359	272	0.050359
2973	0.050751	276	0.050751
2975	0.051113	278	0.051113
2978	0.051614	281	0.051614
2981	0.052199	284	0.052199
2984	0.052733	287	0.052733
2988	0.053054	291	0.053054
2990	0.053314	293	0.053314
2994	0.053778	297	0.053778
2996	0.05435	299	0.05435
3000	0.054758	303	0.054758
3003	0.05509	306	0.05509
3007	0.055382	310	0.055382
3009	0.05575	312	0.05575
3013	0.05614	316	0.05614
3015	0.056511	318	0.056511
3019	0.056864	322	0.056864
3022	0.057111	325	0.057111
3025	0.057328	328	0.057328
3028	0.057723	331	0.057723
3032	0.058089	335	0.058089
3034	0.058341	337	0.058341
3038	0.058562	341	0.058562
3040	0.058736	343	0.058736
3044	0.058981	347	0.058981
3047	0.059267	350	0.059267
3051	0.059589	354	0.059589
3053	0.05976	356	0.05976
3057	0.059835	360	0.059835
3059	0.059946	362	0.059946
3063	0.060157	366	0.060157
3066	0.060433	369	0.060433
3069	0.060557	372	0.060557
3072	0.060541	375	0.060541
3076	0.060552	379	0.060552
3078	0.060735	381	0.060735
3082	0.060923	385	0.060923
3084	0.061031	387	0.061031
3087	0.060995	390	0.060995
3091	0.060957	394	0.060957
3093	0.06097	396	0.06097
3097	0.061148	400	0.061148
3099	0.061251	402	0.061251
3103	0.061134	406	0.061134
3106	0.061043	409	0.061043
3110	0.060983	413	0.060983
3112	0.06099	415	0.06099
3116	0.061046	419	0.061046
3118	0.060955	421	0.060955
3122	0.060789	425	0.060789
3125	0.060698	428	0.060698
3128	0.060664	431	0.060664
3131	0.0606	434	0.0606
3135	0.060478	438	0.060478
3137	0.060286	440	0.060286
3141	0.060042	444	0.060042
3143	0.059881	446	0.059881
3147	0.059803	450	0.059803
3150	0.05964	453	0.05964
3154	0.059323	457	0.059323
3156	0.059002	459	0.059002
3160	0.058817	463	0.058817
3162	0.058649	465	0.058649
3166	0.058461	469	0.058461
3169	0.058203	472	0.058203
3172	0.057872	475	0.057872
3175	0.057462	478	0.057462
3179	0.057165	482	0.057165
3181	0.05695	484	0.05695
3185	0.056676	488	0.056676
3187	0.05632	490	0.05632
3191	0.055926	494	0.055926
3194	0.055484	497	0.055484
3198	0.055173	501	0.055173
3200	0.054884	503	0.054884
3204	0.054461	507	0.054461
3206	0.053945	509	0.053945
3209	0.053537	512	0.053537
3213	0.053189	516	0.053189
3215	0.052769	518	0.052769
3219	0.052369	522	0.052369
3221	0.051866	524	0.051866
3225	0.05136	528	0.05136
3228	0.050881	531	0.050881
3231	0.050455	534	0.050455
3234	0.050023	537	0.050023
3238	0.049526	541	0.049526
3240	0.048957	543	0.048957
3244	0.048367	547	0.048367
3247	0.047934	550	0.047934
3250	0.04751	553	0.04751
3253	0.046961	556	0.046961
3257	0.046335	560	0.046335
3259	0.045678	562	0.045678
3263	0.045183	566	0.045183
3265	0.044748	568	0.044748
3269	0.044128	572	0.044128
3272	0.04348	575	0.04348
3276	0.042768	579	0.042768
3278	0.04222	581	0.04222
3282	0.041769	585	0.041769
3284	0.041207	587	0.041207
3288	0.040571	591	0.040571
3291	0.039821	594	0.039821
3294	0.039192	597	0.039192
3297	0.038746	600	0.038746
3301	0.037969	604	0.037969
3303	0.037548	606	0.037548
3307	0.036652	610	0.036652
3309	0.036143	612	0.036143
3313	0.035181	616	0.035181
3316	0.035218	619	0.035218
3318	0.033747	621	0.033747
3322	0.034048	625	0.034048
