"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","3","BKCT3151-2-ND","CT3151-2","CONN BANANA JACK SOLDER RED","","3","0","2.05000","6.15"
"2","1","732-5321-ND","61300811121","CONN HEADER VERT 8POS 2.54MM","","1","0","0.37000","0.37"
"3","2","377-2094-ND","BB-32621","BREADBOARD TERM STRIP 3.20X2.08""","","2","0","4.50000","9.00"
"4","4","732-2678-ND","60900213421","JUMPER W/TEST PNT 1X2PINS 2.54MM","","4","0","0.30000","1.20"
"5","2","377-2646-ND","BB-32656","BREADBOARD TERM STRIP 6.50X2.15""","","2","0","7.32000","14.64"
"6","2","1528-1967-ND","1957","JUMPER WIRE M TO M 6"" 28AWG","","2","0","1.95000","3.90"
"7","4","1195-1123-ND","09030006225","DIN-SGNL HI CURR FS 40A","","4","0","13.75000","55.00"
"8","4","1195-1112-ND","09030006104","DIN-SIGNAL HI CURRENT M 20A SLD","","4","0","7.22000","28.88"
"9","1","1195-1147-ND","09031606901","CONN DIN HDR 64POS PCB RA","","1","0","10.67000","10.67"
"10","1","1195-4236-ND","09032606865","CONN DIN RCPT 64POS PCB GOLD","","1","0","9.48000","9.48"
"11","2","BKCT3151-0-ND","CT3151-0","CONN BANANA JACK SOLDER BLACK","","2","0","2.05000","4.10"
